num,n,train_end,w,a,b,L,L_over_w,n_windows,max_abs_delta,t_patch_s,identity_bitexact,identity_ai_zero,scale_ok,unperturbed_vs_gate1_max_abs
86,80000,20000,276,58064,58202,138,0.5,413,1.5720758028692217e-13,0.040643458007252775,True,True,True,4.005684672847565e-13
86,80000,20000,276,33178,33454,276,1.0,551,1.1546319456101628e-13,0.0420905000064522,True,True,True,3.588240815588506e-13
86,80000,20000,276,55602,55671,69,0.25,344,1.9895196601282805e-13,0.03502070800459478,True,True,True,3.992361996552063e-13
86,80000,20000,276,31373,31649,276,1.0,551,2.327027459614328e-13,0.04050533298868686,True,True,True,4.1167069753100805e-13
86,80000,20000,276,69594,69870,276,1.0,551,2.2382096176443156e-13,0.039321209012996405,True,True,True,2.6334490144108713e-13
86,80000,20000,276,47441,47510,69,0.25,344,8.482103908136196e-14,0.03308054200897459,True,True,True,2.2293278334473143e-13
123,200000,5000,125,88972,89035,63,0.504,187,7.485123632022805e-13,0.005880292010260746,True,True,True,9.08340069827318e-12
123,200000,5000,125,123418,123481,63,0.504,187,2.3092638912203256e-13,0.007063457989715971,True,True,True,1.1324274851176597e-12
123,200000,5000,125,104209,104240,31,0.248,155,2.000621890374532e-13,0.005736709004850127,True,True,True,9.483525076348087e-13
123,200000,5000,125,132382,132445,63,0.504,187,8.952838470577262e-13,0.005394916996010579,True,True,True,2.5224267119483557e-12
123,200000,5000,125,196661,196786,125,1.0,249,5.258016244624741e-13,0.0075383329967735335,True,True,True,5.091038701721118e-12
123,200000,5000,125,131048,131111,63,0.504,187,2.0872192862952943e-13,0.006529542006319389,True,True,True,7.594813666855771e-12
123,200000,5000,125,144425,144456,31,0.248,155,4.618527782440651e-13,0.006398416997399181,True,True,True,8.173017818080552e-12
123,200000,5000,125,10034,10159,125,1.0,249,6.565858967633176e-13,0.007653082997421734,True,True,True,5.353051335532655e-12
123,200000,5000,125,151934,151997,63,0.504,187,9.048317650695026e-13,0.008030249999137595,True,True,True,1.2854162179110062e-12
123,200000,5000,125,82930,82961,31,0.248,155,5.432099214885966e-12,0.006457082999986596,True,True,True,1.819100425848319e-12
123,200000,5000,125,143795,143858,63,0.504,187,3.6187719487656977e-13,0.006625708003412001,True,True,True,8.095746295566641e-13
123,200000,5000,125,41192,41317,125,1.0,249,1.0871303857129533e-12,0.006361750012729317,True,True,True,9.441003534504944e-12
123,200000,5000,125,154574,154699,125,1.0,249,2.299271883998699e-13,0.0065306250035064295,True,True,True,1.1540768340978502e-12
123,200000,5000,125,82400,82431,31,0.248,155,1.1173284519827575e-12,0.004691458001616411,True,True,True,7.66231522675298e-12
123,200000,5000,125,192718,192843,125,1.0,249,1.9628743075372768e-13,0.00642012499156408,True,True,True,6.759925952337653e-12
123,200000,5000,125,98100,98225,125,1.0,249,1.3300471835009375e-12,0.008845624994137324,True,True,True,1.3639089857520048e-12
123,200000,5000,125,186447,186572,125,1.0,249,4.725109192804666e-13,0.005713292004656978,True,True,True,7.30970839413203e-12
123,200000,5000,125,45812,45875,63,0.504,187,5.613287612504791e-13,0.00771474999783095,True,True,True,7.440270621827949e-12
123,200000,5000,125,25480,25511,31,0.248,155,8.810729923425242e-13,0.007201375003205612,True,True,True,1.5374368445009168e-12
123,200000,5000,125,66092,66123,31,0.248,155,8.100187187665142e-13,0.005929999999352731,True,True,True,2.0330404026935867e-12
124,30000,5000,166,6624,6666,42,0.25301204819277107,207,1.4654943925052066e-14,0.007935708010336384,True,True,True,2.7977620220553945e-14
124,30000,5000,166,28244,28410,166,1.0,331,8.748557434046234e-14,0.006967958994209766,True,True,True,1.6697754290362354e-13
124,30000,5000,166,13699,13741,42,0.25301204819277107,207,3.8191672047105385e-14,0.00746987501042895,True,True,True,6.483702463810914e-14
124,30000,5000,166,17586,17752,166,1.0,331,3.519406988061746e-13,0.008468667001579888,True,True,True,1.6764367671839864e-13
124,30000,5000,166,29413,29579,166,1.0,331,3.0819791163594346e-13,0.008437791009782813,True,True,True,3.3728575488112256e-13
124,30000,5000,166,25110,25276,166,1.0,331,9.903189379656396e-14,0.009212208999088034,True,True,True,1.1257661469699087e-13
124,30000,5000,166,16402,16485,83,0.5,248,2.1049828546892968e-13,0.008955500001320615,True,True,True,2.935429677108914e-13
124,30000,5000,166,23750,23833,83,0.5,248,5.950795411990839e-14,0.007874832997913472,True,True,True,1.0258460747536446e-13
124,30000,5000,166,5006,5172,166,1.0,331,1.3877787807814457e-13,0.00810220799758099,True,True,True,3.2507330161024584e-13
124,30000,5000,166,8508,8591,83,0.5,248,6.750155989720952e-14,0.006259542002226226,True,True,True,2.5512925105886097e-13
124,30000,5000,166,9970,10012,42,0.25301204819277107,207,1.8962609260597674e-13,0.008844750002026558,True,True,True,2.1604940059205546e-13
124,30000,5000,166,27407,27490,83,0.5,248,8.43769498715119e-14,0.007393125008093193,True,True,True,1.270095140171179e-13
124,30000,5000,166,18976,19018,42,0.25301204819277107,207,5.395683899678261e-14,0.008894250000594184,True,True,True,3.439470930288735e-13
124,30000,5000,166,25894,26060,166,1.0,331,7.505107646466058e-14,0.01926837499195244,True,True,True,1.1057821325266559e-13
