num,rid,train_end,w,kind,length,L,op,n_A,n_B,n,c,t_op,t_patch,no_donor
32,10,1000,178,normal,0.25w,45,B1_zero,222,823,7321,44,3.462500171735883e-05,0.0025541250070091337,False
32,10,1000,178,normal,0.25w,45,B2_global_mean,222,823,7321,44,7.704099698457867e-05,0.0033566250058356673,False
32,10,1000,178,normal,0.25w,45,B3_local_mean,222,823,7321,44,0.0001577910006744787,0.003263541992055252,False
32,10,1000,178,normal,0.25w,45,B4_linear_interp,222,823,7321,44,3.837500116787851e-05,0.00325016699207481,False
32,10,1000,178,normal,0.25w,45,B5_gaussian,222,823,7321,44,0.00011675000132527202,0.0032553749915678054,False
32,10,1000,178,normal,0.25w,45,B6_shuffle,222,823,7321,44,4.8250003601424396e-05,0.002116749994456768,False
32,10,1000,178,normal,0.25w,45,recon_test,222,823,7321,44,0.0021263749949866906,0.002948624998680316,False
32,10,1000,178,normal,0.25w,45,recon_train,222,823,7321,44,0.00018783299310598522,0.0023452499881386757,False
32,10,1000,178,normal,0.25w,45,identity,222,823,7321,44,7.875001756474376e-06,0.0033525420003570616,False
32,11,1000,178,normal,0.25w,45,(before),222,823,7321,44,0.0,0.0021103329927427694,False
32,11,1000,178,normal,0.25w,45,B1_zero,222,823,7321,44,3.779200778808445e-05,0.0028860840102424845,False
32,11,1000,178,normal,0.25w,45,B2_global_mean,222,823,7321,44,2.491600753273815e-05,0.002242000002297573,False
32,11,1000,178,normal,0.25w,45,B3_local_mean,222,823,7321,44,0.00011033299961127341,0.002846707997377962,False
32,11,1000,178,normal,0.25w,45,B4_linear_interp,222,823,7321,44,5.9541998780332506e-05,0.002452542001265101,False
32,11,1000,178,normal,0.25w,45,B5_gaussian,222,823,7321,44,7.762499444652349e-05,0.002870915996027179,False
32,11,1000,178,normal,0.25w,45,B6_shuffle,222,823,7321,44,3.187499532941729e-05,0.0026460830122232437,False
32,11,1000,178,normal,0.25w,45,recon_test,222,823,7321,44,0.0010994999902322888,0.0020195420074742287,False
32,11,1000,178,normal,0.25w,45,recon_train,222,823,7321,44,0.00025800000003073364,0.0024179159954655915,False
32,11,1000,178,normal,0.25w,45,identity,222,823,7321,44,8.916002116166055e-06,0.0023843749950174242,False
32,12,1000,178,normal,0.25w,45,(before),222,823,7321,44,0.0,0.0022733749938197434,False
32,12,1000,178,normal,0.25w,45,B1_zero,222,823,7321,44,2.1042011212557554e-05,0.002866750000976026,False
32,12,1000,178,normal,0.25w,45,B2_global_mean,222,823,7321,44,6.387500616256148e-05,0.003098542001680471,False
32,12,1000,178,normal,0.25w,45,B3_local_mean,222,823,7321,44,0.00013945798855274916,0.002364542000577785,False
32,12,1000,178,normal,0.25w,45,B4_linear_interp,222,823,7321,44,6.208299600984901e-05,0.003527625012793578,False
32,12,1000,178,normal,0.25w,45,B5_gaussian,222,823,7321,44,7.958299829624593e-05,0.003254499999457039,False
32,12,1000,178,normal,0.25w,45,B6_shuffle,222,823,7321,44,4.6540997573174536e-05,0.0026894580078078434,False
32,12,1000,178,normal,0.25w,45,recon_test,222,823,7321,44,0.0014198749995557591,0.0028428749938029796,False
32,12,1000,178,normal,0.25w,45,recon_train,222,823,7321,44,0.0004608330054907128,0.0032027089910116047,False
