series_id,content_group,domain,am,K,g,omega_len,gt_len,gt_shorter_than_g,chance,oracle_rma,oracle_rra,neg_mass_ratio,rma_relu,rra_relu,nrma_relu,nrra_relu,rma_abs,rra_abs,nrma_abs,nrra_abs
86,cg086,ECG,KernelSHAP,12,69,801,251,False,0.31335830212234705,0.9315202956290778,0.9362549800796812,0.044201053287986715,0.582425393312534,0.44621513944223107,0.43526954749161106,0.21328872350959008,0.5751841749778426,0.44621513944223107,0.4235554362865317,0.21328872350959008
86,cg086,ECG,MPNative,12,69,801,251,False,0.31335830212234705,0.9315202956290778,0.9362549800796812,0.0,0.9168396739314866,0.896414342629482,0.9762511738803117,0.9360397336186659,0.9168396739314866,0.896414342629482,0.9762511738803117,0.9360397336186659
88,cg088,ECG,Random,17,43,715,371,False,0.5188811188811189,0.9729204538331347,0.9784366576819407,0.0,0.5388831945124445,0.4636118598382749,0.04405361846774682,-0.12026676729229563,0.5388831945124445,0.4636118598382749,0.04405361846774682,-0.12026676729229563
88,cg088,ECG,FeatureAblation,17,43,715,371,False,0.5188811188811189,0.9729204538331347,0.9784366576819407,0.0274821215634922,0.9999999999999987,0.6415094339622641,1.059641410076785,0.26684112088200546,0.989774094301955,0.784366576819407,1.0371193400470498,0.5777004856280352
88,cg088,ECG,KernelSHAP,17,43,715,371,False,0.5188811188811189,0.9729204538331347,0.9784366576819407,0.11099488779810104,0.6806765097878116,0.6954177897574124,0.3563466388298531,0.38414654154088473,0.6930368137191916,0.7681940700808625,0.3835696192632252,0.5425088594303714
88,cg088,ECG,MPNative,17,43,715,371,False,0.5188811188811189,0.9729204538331347,0.9784366576819407,0.0,0.7469023270943116,0.6819407008086253,0.5022058457496653,0.3548201863761649,0.7469023270943116,0.6819407008086253,0.5022058457496653,0.3548201863761649
89,cg089,ABP,Random,10,60,552,68,False,0.12318840579710146,0.8490196078431371,0.8676470588235294,0.0,0.11881937997705122,0.0,-0.006019341422267942,-0.16547380475236187,0.11881937997705122,0.0,-0.006019341422267942,-0.16547380475236187
89,cg089,ABP,FeatureAblation,10,60,552,68,False,0.12318840579710146,0.8490196078431371,0.8676470588235294,0.6977280394471299,0.9220922012201155,0.8529411764705882,1.1006743622635609,0.9802462066991124,0.27877050996755626,0.11764705882352941,0.2143502562743053,-0.007443458345261962
89,cg089,ABP,KernelSHAP,10,60,552,68,False,0.12318840579710146,0.8490196078431371,0.8676470588235294,0.33837368177350485,0.9053311057722936,0.8529411764705882,1.0775820848847786,0.9802462066991124,0.5999121832024636,0.8529411764705882,0.6567970294767324,0.9802462066991124
89,cg089,ABP,MPNative,10,60,552,68,False,0.12318840579710146,0.8490196078431371,0.8676470588235294,0.0,0.4963294520697621,0.8529411764705882,0.5140879108266749,0.9802462066991124,0.4963294520697621,0.8529411764705882,0.5140879108266749,0.9802462066991124
