num,name,variant,domain_goswami,is_medical,content_group,name_group,fit_on,max_features,seed,n_fit,window,n_estimators,n,train_end,start0,stop0,max_anom,thr_b0,thr_bw,n_normal_b0,n_normal_bw,p1_b0,p1_bw,argmax0,p2_archive,p2_brief,fit_s,score_s,score_file
5,DISTORTEDCIMIS44AirTemperature1,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature1,train_prefix,1,2,4000,100,200,8184,4000,5390,5392,-0.019997148992071945,0.06161574086144146,0.06172561089673785,4182,3982,False,False,4791,False,False,0.1291,0.0449,results/gate1/scores/005_train_prefix_mf1_seed2.npy
5,DISTORTEDCIMIS44AirTemperature1,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature1,train_prefix,1.0,0,4000,100,200,8184,4000,5390,5392,-0.05182693481580347,0.11024888206947024,0.11043776645039935,4182,3982,False,False,4794,False,False,0.1083,0.0318,results/gate1/scores/005_train_prefix_mf1.0_seed0.npy
5,DISTORTEDCIMIS44AirTemperature1,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature1,train_prefix,1.0,1,4000,100,200,8184,4000,5390,5392,-0.05077634584924756,0.1115284507357383,0.11193643420846068,4182,3982,False,False,4787,False,False,0.1099,0.0389,results/gate1/scores/005_train_prefix_mf1.0_seed1.npy
5,DISTORTEDCIMIS44AirTemperature1,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature1,train_prefix,1.0,2,4000,100,200,8184,4000,5390,5392,-0.03815310883245904,0.10697517918550374,0.10748150184699637,4182,3982,False,False,4787,False,False,0.1159,0.0392,results/gate1/scores/005_train_prefix_mf1.0_seed2.npy
6,DISTORTEDCIMIS44AirTemperature2,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature2,full,1,0,8184,100,200,8184,4000,5702,5727,-0.009761481492527924,0.043373334287296866,0.0441826552511082,4159,3959,False,False,5091,False,False,0.1916,0.0457,results/gate1/scores/006_full_mf1_seed0.npy
6,DISTORTEDCIMIS44AirTemperature2,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature2,full,1,1,8184,100,200,8184,4000,5702,5727,-0.014300192543717283,0.03430199077719471,0.03473978704487624,4159,3959,False,False,5101,False,False,0.1871,0.0489,results/gate1/scores/006_full_mf1_seed1.npy
6,DISTORTEDCIMIS44AirTemperature2,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature2,full,1,2,8184,100,200,8184,4000,5702,5727,-0.0147990956219205,0.041422299984972356,0.04243017315128997,4159,3959,False,False,5103,False,False,0.1864,0.0453,results/gate1/scores/006_full_mf1_seed2.npy
6,DISTORTEDCIMIS44AirTemperature2,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature2,full,1.0,0,8184,100,200,8184,4000,5702,5727,-0.021571182294877644,0.06931917878106192,0.06960488732555371,4159,3959,False,False,5103,False,False,0.154,0.0316,results/gate1/scores/006_full_mf1.0_seed0.npy
6,DISTORTEDCIMIS44AirTemperature2,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature2,full,1.0,1,8184,100,200,8184,4000,5702,5727,-0.013255203946892058,0.07207292149629899,0.07255474843540499,4159,3959,False,False,5107,False,False,0.1584,0.0358,results/gate1/scores/006_full_mf1.0_seed1.npy
6,DISTORTEDCIMIS44AirTemperature2,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature2,full,1.0,2,8184,100,200,8184,4000,5702,5727,0.0012844990380886934,0.0753270134617744,0.07567526851746934,4159,3959,False,False,5100,False,False,0.1672,0.0372,results/gate1/scores/006_full_mf1.0_seed2.npy
