num,name,variant,domain_goswami,is_medical,content_group,name_group,detector,fit_on,max_features,seed,n_fit,window,n_estimators,mode,n,train_end,start0,stop0,max_anom,thr_b0,thr_bw,n_normal_b0,n_normal_bw,p1_b0,p1_bw,argmax0,p2_archive,p2_brief,max_support,p1_support_bw,train_max,train_p99,train_selfmatch_max,n_selfmatch,n_const_train,fit_s,score_s,score_file
21,DISTORTEDGP711MarkerLFM5z3,DISTORTED,Gait,False,cg019,GP711MarkerLFM5z3,MatrixProfile,train_prefix,NA,0,5000,218,NA,ab_join,12000,5000,5947,5993,4.423920757827622,4.437428998075054,2.3142740600265905,6954,6518,False,True,6018,True,True,4.670862093750111,True,1.6380987833122833,1.4758334131694293,1.9678561710380527e-06,4783,0,0.0,0.44,results/gate1/MatrixProfile/scores/021_train_prefix_ab_join_seed0.npy
22,DISTORTEDGP711MarkerLFM5z4,DISTORTED,Gait,False,cg019,GP711MarkerLFM5z4,MatrixProfile,full,NA,0,12000,218,NA,self_join,12000,4000,6526,6645,9.873790616781072,7.956975488929149,2.273307992975911,7881,7445,True,True,6493,True,True,10.936886437356906,True,2.436401432380928,2.3473523821263433,2.436401432380928,3783,0,0.0,0.3911,results/gate1/MatrixProfile/scores/022_full_self_join_seed0.npy
22,DISTORTEDGP711MarkerLFM5z4,DISTORTED,Gait,False,cg019,GP711MarkerLFM5z4,MatrixProfile,train_prefix,NA,0,4000,218,NA,ab_join,12000,4000,6526,6645,11.017329079577378,8.915186897630745,3.0322273270599154,7881,7445,True,True,6664,True,True,11.347722541828931,True,1.6714081430122574,1.340182813695283,6.600390252575309e-07,3783,0,0.0001,0.2684,results/gate1/MatrixProfile/scores/022_train_prefix_ab_join_seed0.npy
23,DISTORTEDGP711MarkerLFM5z5,DISTORTED,Gait,False,cg019,GP711MarkerLFM5z5,MatrixProfile,full,NA,0,12000,218,NA,self_join,12000,5000,8611,8716,11.110801966010817,7.447170499673634,2.5241316656688233,6895,6459,True,True,8756,True,True,11.325213069970728,True,2.5181161430106327,2.1025657262803747,2.5181161430106327,4783,0,0.0,0.3831,results/gate1/MatrixProfile/scores/023_full_self_join_seed0.npy
23,DISTORTEDGP711MarkerLFM5z5,DISTORTED,Gait,False,cg019,GP711MarkerLFM5z5,MatrixProfile,train_prefix,NA,0,5000,218,NA,ab_join,12000,5000,8611,8716,13.79052542728274,13.656204730189586,3.052819372335997,6895,6459,True,True,8594,True,True,14.560676862353791,True,1.8163191619084245,1.4105511343658614,1.5400910589342386e-06,4783,0,0.0,0.259,results/gate1/MatrixProfile/scores/023_train_prefix_ab_join_seed0.npy
24,DISTORTEDInternalBleeding10,DISTORTED,ABP,True,cg024,InternalBleeding10,MatrixProfile,full,NA,0,7501,154,NA,self_join,7501,3200,4525,4556,2.5997703024122902,2.693556428525451,2.051389618080336,4270,3962,False,True,4490,True,True,2.8073357391650937,True,2.0914902548227183,1.9813448940692582,2.0914902548227183,3047,0,0.0,0.1902,results/gate1/MatrixProfile/scores/024_full_self_join_seed0.npy
24,DISTORTEDInternalBleeding10,DISTORTED,ABP,True,cg024,InternalBleeding10,MatrixProfile,train_prefix,NA,0,3200,154,NA,ab_join,7501,3200,4525,4556,2.9935903154399934,2.876670630178566,2.1004964688276693,4270,3962,True,True,4544,True,True,2.9935903154399934,True,1.651700885796972,1.566175900354232,6.133054383771621e-07,3047,0,0.0,0.1659,results/gate1/MatrixProfile/scores/024_train_prefix_ab_join_seed0.npy
25,DISTORTEDInternalBleeding14,DISTORTED,ABP,True,cg024,InternalBleeding14,MatrixProfile,full,NA,0,7501,154,NA,self_join,7501,2800,5606,5634,6.6730845015493125,6.349073701406183,1.5351380364897151,4673,4365,True,True,5594,True,True,6.739721489092089,True,1.9323909264312282,1.8467705895098987,1.9323909264312282,2647,0,0.0,0.163,results/gate1/MatrixProfile/scores/025_full_self_join_seed0.npy
25,DISTORTEDInternalBleeding14,DISTORTED,ABP,True,cg024,InternalBleeding14,MatrixProfile,train_prefix,NA,0,2800,154,NA,ab_join,7501,2800,5606,5634,6.6730845015493125,6.349073701406183,1.7391966289074343,4673,4365,True,True,5594,True,True,6.739721489092089,True,1.1198887297257087,0.9005403668293388,5.230286352272107e-07,2647,0,0.0,0.1474,results/gate1/MatrixProfile/scores/025_train_prefix_ab_join_seed0.npy
26,DISTORTEDInternalBleeding15,DISTORTED,ABP,True,cg026,InternalBleeding15,MatrixProfile,full,NA,0,7601,173,NA,self_join,7601,1700,5683,5854,4.392813260514847,3.6469277277906476,1.7051571573368103,5730,5384,True,True,5893,True,True,6.110549584657701,True,1.594674578540115,1.5254945250107161,1.594674578540115,1528,0,0.0,0.2661,results/gate1/MatrixProfile/scores/026_full_self_join_seed0.npy
